,Date,ID,url,username,source,location,tweet,num of likes,num of _retweet
0,2022-10-10 15:22:57+00:00,1579492690873372672,https://twitter.com/gabbarieleweevo/status/1579492690873372672,gabbarieleweevo,OneUp App,,#ACMilan on the new book by #PhilipKotler and Gabriele Carboni. Buy now on #Amazon: https://t.co/uoM8yrub5y #Danone #Versace #Nestle #WMS #AMA #CIM #Olivetti #purpose #VCP #books #PhilipKotler #anewpathtodigital #bcorp #digitalmarketing #marketing https://t.co/oCXpj9sohS,0,0
1,2022-10-10 15:17:26+00:00,1579491300843220992,https://twitter.com/NNNewspapers/status/1579491300843220992,NNNewspapers,WordPress.com,"Kaduna, Nigeria","Nescafe Plan 2030: Nestle Moves To Help Drive Regenerative Agriculture, Others https://t.co/TyvC3zYzUy",0,0
2,2022-10-10 15:16:44+00:00,1579491127472066561,https://twitter.com/Dorset_Diva/status/1579491127472066561,Dorset_Diva,Twitter Web App,"South West, England",@ExcelVendingLtd @Nestle Traditional,0,0
3,2022-10-10 15:14:02+00:00,1579490446237057024,https://twitter.com/EcoDivaNomi/status/1579490446237057024,EcoDivaNomi,Buffer,Canada,"Let's make Nestlé #Cleanup its act! 

#Nestlé does terrible things faster than we can campaign against it: steals water, floods the planet with #plastic, buries anyone that tries to stop it with lawsuits...
 Can you help https://t.co/pwQmSXWY6W  
#ClimateEmergency https://t.co/LESxTP9rFf",0,0
4,2022-10-10 15:13:49+00:00,1579490391258124288,https://twitter.com/carboncompanies/status/1579490391258124288,carboncompanies,"Cheap Bots, Done Quick!",,Hi green thumbs! The well known un-green company Nestle who uses 1.7 MILLION of plastic only on packaging😨! You'll never guess that  everyone has their very own carbon footprint!  Tune in for more behind closed door stats!,0,0
5,2022-10-10 15:13:03+00:00,1579490200576675840,https://twitter.com/CartsCostco/status/1579490200576675840,CartsCostco,"Cheap Bots, Done Quick!",,"Vegetable Platter with Low Fat Dressing, Nestle Toll House Semi-sweet Morsels, Dixie 5 oz. Paper Cold Cup",0,0
6,2022-10-10 15:11:30+00:00,1579489809394937856,https://twitter.com/AmyL_IoM/status/1579489809394937856,AmyL_IoM,Twitter for iPhone,"Ramsey, Isle of Man","@leegallyred @gojosfairy Things that DO taste different to me:
Wheatbix &gt; Weetabix 
Bakers Cream Crackers &gt; all British cream crackers
Lays &gt; Walkers
Beacon &gt; Nestle 
… I could go on, but the Brits make great desserts which is why I stay 😆",1,0
7,2022-10-10 15:10:16+00:00,1579489497800400902,https://twitter.com/LynneNi59944303/status/1579489497800400902,LynneNi59944303,Twitter for iPad,"Hertfordshire, England",@SafeSENCOSaeed @Nestle I wouldn’t be tempted by that one @SafeSENCOSaeed  Having just eaten this bar (yes the whole 5 servings in one day… well one sitting) I prefer the real Purple One with it’s whole hazelnut rather than the nut crumbs in this bar- it gives a better ratio chocolate:nut:caramel,0,0
8,2022-10-10 15:05:56+00:00,1579488408682258432,https://twitter.com/j_wan23/status/1579488408682258432,j_wan23,Twitter Web App,,@ScarleYonaguni First time I've seen a nestle crunch cutting board. 🤔,0,0
9,2022-10-10 15:04:27+00:00,1579488036177711104,https://twitter.com/Kate_Kitssister/status/1579488036177711104,Kate_Kitssister,Twitter for iPhone,North Wales,"@ExcelVendingLtd @Nestle Traditional for me, I've been obsessed with 4 finger KitKats for as long as I remember!!",0,0
